date,site_0,site_1
01-01-2009,11.438115,7.4870243
02-01-2009,11.60395,6.8774414
03-01-2009,11.606865,8.062442
04-01-2009,11.917281,9.554108
05-01-2009,12.283949,8.807442
06-01-2009,12.670198,8.997442
07-01-2009,12.495617,9.298275
08-01-2009,12.606867,9.821608
09-01-2009,12.089366,9.309107
10-01-2009,11.831865,9.741191
11-01-2009,11.419784,9.233275
12-01-2009,11.645617,8.457442
13-01-2009,12.347282,9.592025
14-01-2009,12.343116,8.9520235
15-01-2009,12.5602,8.705775
16-01-2009,12.260615,8.311607
17-01-2009,13.431866,7.3441086
18-01-2009,13.805616,7.3161917
19-01-2009,13.573116,7.423275
20-01-2009,12.667281,7.096192
21-01-2009,12.1352005,6.164942
22-01-2009,12.360199,5.0786915
23-01-2009,12.598532,5.6726594
24-01-2009,12.774783,6.3679676
25-01-2009,11.651867,6.5466084
26-01-2009,11.769365,6.3728585
27-01-2009,12.007699,7.9516087
28-01-2009,12.23895,8.758275
29-01-2009,12.9402,8.911608
30-01-2009,13.465199,9.222442
31-01-2009,12.859365,9.070359
01-02-2009,12.722282,8.628275
02-02-2009,12.932697,9.404941
03-02-2009,12.956032,9.523274
04-02-2009,13.091033,7.1674414
05-02-2009,12.5693655,4.7461915
06-02-2009,13.397284,4.379525
07-02-2009,13.573533,4.0111475
08-02-2009,13.219366,5.9116087
09-02-2009,13.213534,8.435358
10-02-2009,13.549782,9.158275
11-02-2009,13.118948,7.782134
12-02-2009,12.489365,9.7157755
13-02-2009,12.920198,9.601191
14-02-2009,12.950199,10.146192
15-02-2009,13.415198,10.744525
16-02-2009,13.992698,10.37744
17-02-2009,14.398533,8.319107
18-02-2009,14.905199,8.600774
19-02-2009,15.50145,9.350622
20-02-2009,14.100616,9.969942
21-02-2009,13.141867,8.824942
22-02-2009,12.7352,8.177443
23-02-2009,13.0068655,8.517442
24-02-2009,12.99395,7.7978587
25-02-2009,13.104366,7.278275
26-02-2009,12.678534,8.254108
27-02-2009,13.17395,9.069524
28-02-2009,13.104781,9.620358
01-03-2009,12.593533,9.381608
02-03-2009,12.108533,7.7932744
03-03-2009,12.878533,5.110358
04-03-2009,12.453117,5.1914096
05-03-2009,12.285199,6.3861923
06-03-2009,12.451449,6.853691
07-03-2009,11.961866,8.806609
08-03-2009,12.019366,9.110775
09-03-2009,12.30145,9.282441
10-03-2009,13.096032,9.099108
11-03-2009,13.17645,10.010776
12-03-2009,13.598532,9.262441
13-03-2009,13.322699,9.328276
14-03-2009,12.8002,9.058691
15-03-2009,13.271449,9.993691
16-03-2009,12.35145,9.91244
17-03-2009,12.176449,10.024526
18-03-2009,12.862283,9.455357
19-03-2009,13.645617,8.494942
20-03-2009,13.068534,8.057858
21-03-2009,12.2427,8.173693
22-03-2009,11.894783,8.565776
23-03-2009,12.099782,8.540358
24-03-2009,12.209782,8.367859
25-03-2009,12.133948,10.341191
26-03-2009,12.199782,10.536607
27-03-2009,11.856865,10.107443
28-03-2009,11.4452,9.6636915
29-03-2009,11.5293665,10.882026
30-03-2009,11.411449,10.709524
31-03-2009,11.366034,11.02369
01-04-2009,10.366865,10.272858
02-04-2009,10.828532,10.83536
03-04-2009,10.314366,10.569107
04-04-2009,10.721865,11.890575
05-04-2009,10.70145,13.475574
06-04-2009,10.771451,13.631517
07-04-2009,10.522282,12.102025
08-04-2009,10.989781,8.789525
09-04-2009,11.516033,8.952024
10-04-2009,11.698115,11.258121
11-04-2009,11.475199,11.675049
12-04-2009,11.649784,12.663383
13-04-2009,11.320617,11.6724415
14-04-2009,10.969782,11.659062
15-04-2009,10.321866,13.107287
16-04-2009,10.724783,13.553492
17-04-2009,10.373116,13.844109
18-04-2009,10.1560335,12.669108
19-04-2009,10.559366,12.304479
20-04-2009,10.458115,12.344522
21-04-2009,10.895617,11.3253565
22-04-2009,11.253531,10.7349415
23-04-2009,11.626032,10.690358
24-04-2009,10.894365,11.421609
25-04-2009,11.200617,10.324942
26-04-2009,10.831866,10.294525
27-04-2009,10.057698,11.144524
28-04-2009,10.488532,11.54744
29-04-2009,10.177282,11.134525
30-04-2009,9.547282,10.374525
01-05-2009,9.767698,10.753274
02-05-2009,10.021449,10.358274
03-05-2009,9.379784,10.096191
04-05-2009,9.605616,11.278275
05-05-2009,8.863532,9.933275
06-05-2009,9.3489485,10.900358
07-05-2009,8.967701,10.181191
08-05-2009,8.893532,10.519108
09-05-2009,8.738949,10.156193
10-05-2009,8.779366,9.77619
11-05-2009,8.421865,10.437025
12-05-2009,7.9760327,10.949107
13-05-2009,8.455616,10.7020235
14-05-2009,8.492699,10.960358
15-05-2009,7.4802003,10.019524
16-05-2009,7.573532,9.906608
17-05-2009,8.271033,10.606608
18-05-2009,8.085617,9.908275
19-05-2009,8.029366,10.181191
20-05-2009,8.009366,10.643691
21-05-2009,8.000199,10.543691
22-05-2009,8.003532,10.712858
23-05-2009,7.690199,10.624943
24-05-2009,8.460198,11.2261915
25-05-2009,8.626865,11.722025
26-05-2009,8.88145,11.537025
27-05-2009,8.8281145,12.206609
28-05-2009,8.434783,11.644106
29-05-2009,8.796866,12.144108
30-05-2009,8.47895,12.08619
31-05-2009,6.981866,10.916608
01-06-2009,6.3172827,11.420359
02-06-2009,6.6506157,10.74369
03-06-2009,6.5847836,10.527858
04-06-2009,6.376449,10.512024
05-06-2009,7.173532,11.434941
06-06-2009,6.3906164,11.723273
07-06-2009,7.3610334,11.663691
08-06-2009,6.605199,11.240358
09-06-2009,7.3118663,11.459107
10-06-2009,7.2443657,12.56369
11-06-2009,7.242699,12.496191
12-06-2009,7.0381155,11.709109
13-06-2009,7.1572833,12.432858
14-06-2009,7.4818664,11.395775
15-06-2009,7.5268664,10.952441
16-06-2009,6.870616,10.233693
17-06-2009,6.178116,9.990357
18-06-2009,5.9843655,10.653691
19-06-2009,7.012699,10.052442
20-06-2009,6.3835325,9.725775
21-06-2009,6.455199,8.278691
22-06-2009,6.415616,10.0978565
23-06-2009,6.8735332,11.280358
24-06-2009,6.3402,10.7157755
25-06-2009,5.912699,10.93786
26-06-2009,5.129366,9.843691
27-06-2009,5.668116,10.589941
28-06-2009,5.8726993,10.2470255
29-06-2009,6.0160336,11.636608
30-06-2009,5.3564496,10.617024
01-07-2009,5.7393656,10.865358
02-07-2009,5.5410323,10.839524
03-07-2009,5.1618657,9.779525
04-07-2009,5.800199,11.522859
05-07-2009,5.9256153,11.676191
06-07-2009,5.592699,10.373691
07-07-2009,5.435199,10.583691
08-07-2009,5.4889493,10.849108
09-07-2009,5.5110326,10.615358
10-07-2009,6.01145,10.402441
11-07-2009,5.6039495,10.654109
12-07-2009,5.448949,10.494525
13-07-2009,5.504366,10.209524
14-07-2009,5.8672824,10.625358
15-07-2009,5.3522825,11.089941
16-07-2009,5.7739487,11.311609
17-07-2009,5.9614496,11.781192
18-07-2009,5.857282,11.607858
19-07-2009,5.384782,11.842027
20-07-2009,5.323949,11.071608
21-07-2009,5.3051996,10.554524
22-07-2009,4.905616,10.812859
23-07-2009,4.898116,11.169942
24-07-2009,4.956866,12.098275
25-07-2009,4.5572824,11.217024
26-07-2009,4.4410324,10.855774
27-07-2009,4.6410327,11.466191
28-07-2009,4.7047825,11.518275
29-07-2009,4.822283,11.737024
30-07-2009,5.108949,11.559525
31-07-2009,4.9497833,10.62994
01-08-2009,4.948949,10.777441
02-08-2009,4.4981165,10.519107
03-08-2009,4.913116,11.243274
04-08-2009,5.1943655,11.124525
05-08-2009,5.101866,10.059109
06-08-2009,4.7681155,10.00869
07-08-2009,4.863533,10.499941
08-08-2009,4.702699,10.857441
09-08-2009,5.2676997,10.386191
10-08-2009,4.182699,11.143274
11-08-2009,4.267699,10.140358
12-08-2009,4.488949,10.549525
13-08-2009,3.860616,11.631609
14-08-2009,3.8072827,11.180775
15-08-2009,4.503116,10.8807745
16-08-2009,4.753533,10.412024
17-08-2009,4.198533,9.924524
18-08-2009,4.446866,11.0386915
19-08-2009,4.8631167,11.253275
20-08-2009,4.664366,11.021191
21-08-2009,4.6426992,10.9432745
22-08-2009,5.0739493,11.844526
23-08-2009,5.2814484,11.436607
24-08-2009,4.783949,11.091191
25-08-2009,4.8185325,11.182024
26-08-2009,4.373116,10.48869
27-08-2009,4.506866,11.145359
28-08-2009,4.7864494,11.146193
29-08-2009,4.9339495,10.936192
30-08-2009,5.415616,10.994107
31-08-2009,5.3881164,10.978691
01-09-2009,5.7147827,10.723274
02-09-2009,5.7793655,11.546608
03-09-2009,6.1131163,11.654108
04-09-2009,5.643116,11.519525
05-09-2009,5.525616,11.634108
06-09-2009,5.049366,11.041191
